epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,87.6646,0.45898,0.35404,1.21189,0.99937,1,0.995,0.89268,0.49579,0.33512,1.29944,0.0014159,0.0014159,0.0014159
61,88.9795,0.45207,0.35031,1.18256,0.99937,1,0.995,0.89268,0.49579,0.33512,1.29944,0.001406,0.001406,0.001406
62,90.2808,0.45099,0.34893,1.24278,1,0.99449,0.995,0.89811,0.48668,0.326,1.32291,0.0013961,0.0013961,0.0013961
63,91.7043,0.43507,0.34472,1.2456,0.99701,0.99982,0.995,0.88664,0.50326,0.32422,1.3256,0.0013862,0.0013862,0.0013862
64,92.9984,0.47045,0.35837,1.24797,0.99701,0.99982,0.995,0.88664,0.50326,0.32422,1.3256,0.0013763,0.0013763,0.0013763
65,94.2983,0.45873,0.35093,1.25064,0.99648,0.99701,0.995,0.89915,0.46209,0.31784,1.33666,0.0013664,0.0013664,0.0013664
66,95.7433,0.43188,0.33135,1.23942,0.99648,0.99701,0.995,0.89915,0.46209,0.31784,1.33666,0.0013565,0.0013565,0.0013565
67,97.1951,0.45199,0.35669,1.32242,0.99101,1,0.995,0.90032,0.46249,0.31975,1.38485,0.0013466,0.0013466,0.0013466
68,98.631,0.44795,0.35774,1.22942,0.99701,0.99989,0.995,0.90378,0.4728,0.31504,1.41151,0.0013367,0.0013367,0.0013367
69,100.054,0.44378,0.34658,1.2425,0.99701,0.99989,0.995,0.90378,0.4728,0.31504,1.41151,0.0013268,0.0013268,0.0013268
70,101.487,0.44495,0.34652,1.25626,0.99691,1,0.995,0.90202,0.46297,0.30749,1.37197,0.0013169,0.0013169,0.0013169
71,102.788,0.43609,0.32783,1.19446,0.99693,1,0.995,0.90334,0.45157,0.30099,1.49504,0.001307,0.001307,0.001307
72,104.086,0.4213,0.32629,1.16877,0.99693,1,0.995,0.90334,0.45157,0.30099,1.49504,0.0012971,0.0012971,0.0012971
73,105.419,0.43561,0.33466,1.30688,0.99971,1,0.995,0.89846,0.45364,0.29845,1.62864,0.0012872,0.0012872,0.0012872
74,106.712,0.43139,0.33196,1.27248,0.99971,1,0.995,0.89846,0.45364,0.29845,1.62864,0.0012773,0.0012773,0.0012773
75,108.032,0.43144,0.32295,1.22455,0.99979,1,0.995,0.89453,0.4684,0.30759,1.44589,0.0012674,0.0012674,0.0012674
76,109.334,0.45284,0.33828,1.23047,0.99701,0.99959,0.995,0.89454,0.47877,0.31314,1.41096,0.0012575,0.0012575,0.0012575
77,110.629,0.43957,0.34062,1.26908,0.99701,0.99959,0.995,0.89454,0.47877,0.31314,1.41096,0.0012476,0.0012476,0.0012476
78,111.931,0.45061,0.34686,1.23667,0.99876,1,0.995,0.89318,0.48621,0.30319,1.45467,0.0012377,0.0012377,0.0012377
79,113.238,0.43086,0.32994,1.24033,0.99912,1,0.995,0.89912,0.47352,0.28499,1.64623,0.0012278,0.0012278,0.0012278
80,114.544,0.42506,0.31728,1.31943,0.99912,1,0.995,0.89912,0.47352,0.28499,1.64623,0.0012179,0.0012179,0.0012179
81,115.851,0.43887,0.32477,1.25728,0.99933,1,0.995,0.90059,0.46979,0.28471,1.64495,0.001208,0.001208,0.001208
82,117.147,0.41691,0.3113,1.16243,0.99933,1,0.995,0.90059,0.46979,0.28471,1.64495,0.0011981,0.0011981,0.0011981
83,118.44,0.43004,0.32306,1.24779,0.99973,1,0.995,0.8917,0.47636,0.29539,1.57643,0.0011882,0.0011882,0.0011882
84,119.741,0.40744,0.30571,1.19375,0.99975,1,0.995,0.89853,0.46312,0.29165,1.40055,0.0011783,0.0011783,0.0011783
85,121.06,0.41642,0.31757,1.2408,0.99975,1,0.995,0.89853,0.46312,0.29165,1.40055,0.0011684,0.0011684,0.0011684
86,122.361,0.41869,0.32245,1.16457,0.99976,1,0.995,0.89797,0.45636,0.29129,1.33515,0.0011585,0.0011585,0.0011585
87,123.658,0.40843,0.31697,1.16001,0.99973,1,0.995,0.89749,0.46944,0.29713,1.41509,0.0011486,0.0011486,0.0011486
88,124.959,0.41042,0.32144,1.25899,0.99973,1,0.995,0.89749,0.46944,0.29713,1.41509,0.0011387,0.0011387,0.0011387
89,126.266,0.39025,0.30965,1.17659,0.99936,1,0.995,0.89665,0.46318,0.28759,1.53919,0.0011288,0.0011288,0.0011288
90,127.56,0.40597,0.31388,1.21501,0.99936,1,0.995,0.89665,0.46318,0.28759,1.53919,0.0011189,0.0011189,0.0011189
91,128.866,0.40305,0.31082,1.23542,0.99926,1,0.995,0.90375,0.44761,0.27862,1.51776,0.001109,0.001109,0.001109
92,130.17,0.38817,0.29402,1.16052,0.99928,1,0.995,0.90408,0.46525,0.28131,1.36238,0.0010991,0.0010991,0.0010991
93,131.592,0.41509,0.29707,1.13075,0.99928,1,0.995,0.90408,0.46525,0.28131,1.36238,0.0010892,0.0010892,0.0010892
94,133.058,0.41579,0.31058,1.19264,0.9987,1,0.995,0.9098,0.45048,0.27704,1.35668,0.0010793,0.0010793,0.0010793
95,134.528,0.38745,0.28668,1.115,0.99791,1,0.995,0.90487,0.45139,0.28509,1.44831,0.0010694,0.0010694,0.0010694
96,135.837,0.39121,0.29958,1.22928,0.99791,1,0.995,0.90487,0.45139,0.28509,1.44831,0.0010595,0.0010595,0.0010595
97,137.142,0.38739,0.30113,1.20862,0.99898,1,0.995,0.91128,0.43763,0.27959,1.44787,0.0010496,0.0010496,0.0010496
98,138.57,0.38675,0.30717,1.21529,0.99898,1,0.995,0.91128,0.43763,0.27959,1.44787,0.0010397,0.0010397,0.0010397
99,140.032,0.42104,0.31084,1.19039,0.99976,1,0.995,0.8949,0.47338,0.28346,1.39212,0.0010298,0.0010298,0.0010298
100,141.34,0.41669,0.30351,1.19651,0.99975,1,0.995,0.89967,0.47168,0.28814,1.33175,0.0010199,0.0010199,0.0010199
